ctyfips,incid
12001,588
12003,66
12005,301
12007,88
12009,1974
12011,2626
12013,13
12015,719
12017,349
12019,639
12021,561
12023,164
12027,82
12029,67
12031,2473
12033,610
12035,217
12037,13
12039,43
12041,54
12043,11
12045,18
12047,20
12049,25
12051,54
12053,592
12055,206
12057,3533
12059,15
12061,534
12063,42
12065,12
12067,
12069,1177
12071,1639
12073,260
12075,133
12077,
12079,11
12081,939
12083,874
12085,367
12086,1626
12087,98
12089,215
12091,304
12093,128
12095,2771
12097,762
12099,2729
12101,2752
12103,4083
12105,1079
12107,207
12109,317
12111,730
12113,285
12115,1072
12117,1032
12119,155
12121,73
12123,28
12125,30
12127,1655
12129,38
12131,85
12133,29
